50 15 - (80.947, 107.447, 203.703, 19.843, 0.05, 12.784284304291232) - 0.106962049749 0.00586416258936 0.00758113002969
50 20 - (66.334, 95.705, 165.805, 18.624, 0.05, 18.80705622105635) - 0.0990702114905 0.010009432216 0.00978898339228
50 25 - (53.901, 98.397, 176.733, 23.523, 0.05, 23.205661695407212) - 0.116003647508 0.0107772565746 0.00988032575399
25 5 - (43.187, 52.281, 105.676, 9.615, 0.05, 4.726821872188512) - 0.05287020483 0.00318809012194 0.00242599674644
25 10 - (33.501, 52.563, 110.329, 12.469, 0.0, 9.583081989407619) - 0.0410013271853 0.00398075223457 0.0047122618845
25 15 - (31.18, 53.229, 91.118, 12.284, 0.07, 10.719396153681366) - 0.0433004601256 0.00729129407819 0.00841214609025
25 20 - (22.606, 54.563, 104.468, 17.677, 0.05, 16.330251051008766) - 0.0522448750804 0.0105270840555 0.0109006424569
250 5 - (493.602, 513.825, 1011.732, 83.068, 0.07, 7.343184398078414) - 0.505667360851 0.00180744676642 0.00285053956685
250 10 - (484.518, 512.566, 1021.697, 81.818, 0.0, 11.022266605724516) - 0.499749432492 0.00465379601354 0.00705511216506
250 15 - (484.898, 520.381, 1022.99, 83.306, 0.05, 14.12830778821194) - 0.493259376577 0.00517008448077 0.00749740750897
250 20 - (468.711, 516.477, 1008.395, 83.543, 0.07, 18.845190799891977) - 0.529244874612 0.00865130333679 0.0120394368942
250 25 - (455.004, 515.452, 1002.641, 83.611, 0.07, 25.843673081749984) - 0.509963964637 0.0142955413664 0.0122045709647
225 5 - (442.103, 462.084, 917.911, 73.103, 0.0, 6.708021819244402) - 0.448432605692 0.00248123548535 0.00203122916233
225 10 - (435.847, 448.893, 464.198, 6.913, 0.02, 6.714600368901458) - 0.446535480678 0.00303854042989 0.00274191003269
225 15 - (427.313, 462.365, 903.283, 72.578, 0.02, 11.79676043203784) - 0.439254737031 0.00543866666375 0.0066822020586
225 20 - (411.011, 451.327, 483.316, 16.924, 0.05, 17.134364963057717) - 0.466615994131 0.00840379889778 0.0120801622834
225 25 - (407.65, 504.533, 1909.745, 250.675, 0.1, 33.724868803697674) - 0.438729686904 0.0117111195548 0.00985631440885
200 5 - (391.65, 412.212, 809.287, 66.285, 0.07, 6.213721228185112) - 0.404439910097 0.00201072088812 0.00274334265809
200 10 - (382.955, 412.372, 803.041, 64.794, 0.05, 9.746792017431678) - 0.40739697875 0.00473339197921 0.00413631766423
200 15 - (381.078, 409.57, 785.789, 64.296, 0.1, 12.033499205501094) - 0.403215522602 0.00987869212547 0.00688016509166
200 20 - (372.672, 411.976, 792.221, 64.975, 0.05, 18.468615605472138) - 0.412428428278 0.0104008300608 0.00863880195257
200 25 - (359.648, 400.435, 447.774, 21.747, 0.07, 18.763334704975463) - 0.397253041823 0.0105775031371 0.0120811709379
175 5 - (341.681, 359.952, 703.392, 57.417, 0.07, 7.111254873613566) - 0.348682026502 0.0019087124579 0.00203170633574
175 10 - (331.366, 350.108, 361.317, 6.979, 0.07, 6.384345739202411) - 0.348380870523 0.00427494523686 0.00600868753346
175 15 - (323.262, 360.711, 707.514, 58.728, 0.05, 17.32287719500702) - 0.361938385557 0.00796904624593 0.00710921645607
175 20 - (321.312, 364.521, 721.089, 62.189, 0.1, 18.517663835586653) - 0.354422149661 0.00915396234508 0.00712284265074
175 25 - (311.666, 358.738, 673.614, 55.299, 0.02, 24.401458118034068) - 0.343878979504 0.0107570313127 0.0136548418684
150 5 - (293.209, 307.347, 610.414, 50.643, 0.07, 5.822799457686607) - 0.297629926561 0.00289413611928 0.00299437514115
